# CJK Unified Ideographs Extension C 2A700 - 2B73F
2A7EE	cjk-cjkunifiedideograph2a7ee	CJK UNIFIED IDEOGRAPH-2A7EE
2A7EF	cjk-cjkunifiedideograph2a7ef	CJK UNIFIED IDEOGRAPH-2A7EF
2A7F0	cjk-cjkunifiedideograph2a7f0	CJK UNIFIED IDEOGRAPH-2A7F0
2A7F1	cjk-cjkunifiedideograph2a7f1	CJK UNIFIED IDEOGRAPH-2A7F1
2A7F2	cjk-cjkunifiedideograph2a7f2	CJK UNIFIED IDEOGRAPH-2A7F2
2A7F3	cjk-cjkunifiedideograph2a7f3	CJK UNIFIED IDEOGRAPH-2A7F3
2A7F4	cjk-cjkunifiedideograph2a7f4	CJK UNIFIED IDEOGRAPH-2A7F4
2A7F5	cjk-cjkunifiedideograph2a7f5	CJK UNIFIED IDEOGRAPH-2A7F5
2A7F6	cjk-cjkunifiedideograph2a7f6	CJK UNIFIED IDEOGRAPH-2A7F6
2A7F7	cjk-cjkunifiedideograph2a7f7	CJK UNIFIED IDEOGRAPH-2A7F7
2A7F8	cjk-cjkunifiedideograph2a7f8	CJK UNIFIED IDEOGRAPH-2A7F8
2A7F9	cjk-cjkunifiedideograph2a7f9	CJK UNIFIED IDEOGRAPH-2A7F9
2A7FA	cjk-cjkunifiedideograph2a7fa	CJK UNIFIED IDEOGRAPH-2A7FA
2A7FB	cjk-cjkunifiedideograph2a7fb	CJK UNIFIED IDEOGRAPH-2A7FB
2A7FC	cjk-cjkunifiedideograph2a7fc	CJK UNIFIED IDEOGRAPH-2A7FC
2A7FD	cjk-cjkunifiedideograph2a7fd	CJK UNIFIED IDEOGRAPH-2A7FD
2A7FE	cjk-cjkunifiedideograph2a7fe	CJK UNIFIED IDEOGRAPH-2A7FE
2A7FF	cjk-cjkunifiedideograph2a7ff	CJK UNIFIED IDEOGRAPH-2A7FF
2A800	cjk-cjkunifiedideograph2a800	CJK UNIFIED IDEOGRAPH-2A800
2A801	cjk-cjkunifiedideograph2a801	CJK UNIFIED IDEOGRAPH-2A801
2A802	cjk-cjkunifiedideograph2a802	CJK UNIFIED IDEOGRAPH-2A802
2A803	cjk-cjkunifiedideograph2a803	CJK UNIFIED IDEOGRAPH-2A803
2A804	cjk-cjkunifiedideograph2a804	CJK UNIFIED IDEOGRAPH-2A804
2A805	cjk-cjkunifiedideograph2a805	CJK UNIFIED IDEOGRAPH-2A805
2A806	cjk-cjkunifiedideograph2a806	CJK UNIFIED IDEOGRAPH-2A806
2A807	cjk-cjkunifiedideograph2a807	CJK UNIFIED IDEOGRAPH-2A807
2A808	cjk-cjkunifiedideograph2a808	CJK UNIFIED IDEOGRAPH-2A808
2A809	cjk-cjkunifiedideograph2a809	CJK UNIFIED IDEOGRAPH-2A809
2A80A	cjk-cjkunifiedideograph2a80a	CJK UNIFIED IDEOGRAPH-2A80A
2A80B	cjk-cjkunifiedideograph2a80b	CJK UNIFIED IDEOGRAPH-2A80B
2A80C	cjk-cjkunifiedideograph2a80c	CJK UNIFIED IDEOGRAPH-2A80C
2A80D	cjk-cjkunifiedideograph2a80d	CJK UNIFIED IDEOGRAPH-2A80D
2A80E	cjk-cjkunifiedideograph2a80e	CJK UNIFIED IDEOGRAPH-2A80E
